date,open,high,low,close,volume
2024/3/5,3524.964,3570.694,3519.082,3565.514,1664223.89
2024/3/6,3556.532,3577.388,3545.101,3551.048,1430766.13
2024/3/7,3548.101,3569.919,3522.896,3529.72,1481105.1
2024/3/8,3529.551,3548.506,3511.577,3544.91,1257926.64
2024/3/11,3545.943,3589.264,3542.279,3589.264,1482028.25
2024/3/12,3592.583,3605.698,3574.212,3597.494,1806855.6
2024/3/13,3594.421,3594.421,3563.369,3572.361,1445905.9
2024/3/14,3571.789,3597.46,3545.612,3562.223,1409627.22
2024/3/15,3554.907,3572.809,3533.68,3569.993,1383160.44
2024/3/18,3577.056,3604.052,3573.404,3603.528,1603794.38
2024/3/19,3593.34,3610.739,3577.188,3577.63,1455717.86
2024/3/20,3568.716,3589.546,3568.434,3585.384,1295289.66
2024/3/21,3593.07,3601.115,3575.033,3581.09,1307433.77
2024/3/22,3571.274,3575.717,3522.84,3545.002,1392273.58
2024/3/25,3536.714,3564.96,3525.763,3525.763,1370157.24
2024/3/26,3526.682,3547.646,3518.602,3543.747,1262095.35
2024/3/27,3538.724,3542.962,3502.787,3502.787,1286267.63
2024/3/28,3498.482,3551.214,3489.386,3520.965,1433347.17
2024/3/29,3516.883,3538.238,3516.883,3537.484,1286432.9
2024/4/1,3551.582,3600.919,3551.582,3595.647,1627765.61
2024/4/2,3593.221,3596.19,3568.754,3580.676,1412729.72
2024/4/3,3578.684,3582.432,3558.874,3567.803,1355923.31
2024/4/8,3553.555,3567.82,3535.769,3536.408,1553042.83
2024/4/9,3533.385,3543.714,3518.86,3533.487,1296709.42
2024/4/10,3528.968,3531.23,3490.053,3504.709,1287902.74
2024/4/11,3485.029,3520.589,3484.925,3504.245,1265343.95
2024/4/12,3505.75,3516.699,3470.061,3475.839,1289211.16
2024/4/15,3473.505,3552.413,3473.505,3549.076,1839412.5
2024/4/16,3533.364,3545.503,3503.616,3511.115,1761530.65
2024/4/17,3509.132,3565.939,3498.032,3565.403,1684663.98
2024/4/18,3550.556,3602.79,3547.6,3569.802,1785741.05
